,item,n_steps
102,45859,3
264,175306,6
272,423875,2
295,251021,3
304,429524,4
317,124853,2
351,285606,2
416,136231,7
509,335495,5
570,201813,3
589,280251,2
590,242761,2
614,261888,3
705,79736,6
720,100837,4
735,249911,4
912,235003,4
992,224908,7
995,262448,1
1090,289160,9
1096,290008,2
1129,262501,3
1141,297466,1
1383,266704,6
1410,280875,2
1463,404871,8
1495,321420,2
1496,406071,7
1512,30212,9
1513,176415,3
1621,262686,3
1675,255840,4
1676,284848,1
1792,251279,2
1811,286468,1
1828,309674,3
1830,49504,4
1852,254489,2
1885,422484,3
1899,259452,5
1929,15514,3
1942,15719,3
1943,85476,6
1971,109007,3
1972,15715,1
1991,15764,3
2034,429764,12
2173,245851,4
2254,413505,3
2275,169350,3
2276,251276,3
2277,169648,4
2278,240397,3
2279,184628,2
2280,183578,2
2281,225076,2
2282,261358,2
2283,251020,4
2294,243155,7
2296,383260,3
2309,14429,2
2324,315660,4
2344,14434,2
2362,352833,2
2396,8827,1
2397,235161,3
2407,181386,6
2422,523276,3
2524,168085,5
2572,252680,2
2616,206136,2
2617,300355,5
2619,309161,1
2623,268065,5
2624,368852,2
2625,194687,4
2627,281241,1
2628,170594,5
2629,194689,4
2630,351371,1
2636,229362,4
2637,351422,10
2682,172729,2
2709,220202,2
2740,292695,2
2741,309952,2
2746,173567,2
2748,430263,3
2804,261374,1
2807,322039,9
2808,216271,3
2812,303712,1
2813,339553,2
2828,242350,5
2834,284859,3
2835,240135,3
2840,287518,1
2847,485158,1
2853,366921,3
2855,482806,17
2857,369080,4
2884,238464,1
2893,483578,6
2894,225953,4
2917,279155,2
3110,315595,6
3111,276396,1
3112,316670,2
3113,8842,2
3141,235399,4
3142,277332,9
3145,239270,4
3245,335816,2
3277,250787,5
3490,348114,3
3496,429260,4
3498,423045,4
3500,60665,2
3503,16160,3
3505,383147,5
3520,391825,3
3654,264808,2
3659,373804,1
3679,175747,1
3776,280658,2
3792,57885,5
3800,290930,2
3801,284868,1
3806,262499,1
3964,371425,3
4132,354084,3
4150,165452,2
4224,73631,6
4225,304018,2
4251,164903,3
4300,477085,9
4359,249855,1
4364,220201,2
4407,202716,6
4410,94363,5
4411,180696,5
4413,423848,2
4415,292860,1
4447,256689,3
4455,162998,3
4461,406792,1
4474,318805,2
4476,227943,10
4485,55053,1
4486,403920,5
4490,292681,2
4492,17793,3
4496,118200,4
4497,163484,2
4499,54447,5
4502,16677,1
4505,292679,2
4507,292678,3
4516,294327,2
4517,217549,2
4519,285133,1
4520,455734,5
4521,327437,3
4522,205566,3
4524,217536,2
4526,456752,2
4528,220556,6
4530,179482,3
4531,318437,4
4533,184658,2
4534,185230,1
4535,220198,2
4536,217541,3
4537,304905,3
4539,220199,2
4540,322556,4
4541,305058,2
4789,351729,9
4850,244809,2
4852,297570,1
5058,427188,2
5141,258872,2
5147,369785,2
5238,483087,3
5291,117582,4
5342,359515,2
5457,276285,11
5476,275046,1
5480,286697,1
5497,70551,7
5504,517983,3
5607,291366,2
5684,361431,2
5696,64153,5
5701,417837,7
5850,391853,1
5995,530752,8
6006,66402,3
6009,293254,3
6079,355063,3
6262,367080,3
6283,98410,8
6285,356404,4
6380,279527,2
6500,490291,2
6520,192597,3
6589,382871,2
6599,221153,2
6600,264075,2
6752,427204,5
6784,150561,5
6786,187628,3
6898,67415,2
6899,145893,4
7044,202658,9
7049,319373,4
7079,474631,6
7094,29781,9
7102,382538,3
7103,281565,5
7104,476461,7
7121,116924,4
7124,220262,4
7130,257335,2
7293,467558,5
7390,356522,10
7684,37175,4
7696,291850,3
7698,372831,1
7724,307305,4
7726,266523,2
7740,320131,3
7746,331231,4
7915,61105,1
7924,272173,8
8004,456250,5
8009,30787,4
8013,69309,6
8014,239445,5
8147,101353,5
8233,96226,3
8240,250075,3
8253,135777,7
8320,101464,3
8361,173982,4
8362,241815,2
8363,268007,3
8365,58637,4
8366,504571,4
8370,79170,1
8443,295824,2
8446,284161,7
8482,536044,4
8510,250192,2
8579,144405,1
9243,174273,3
9300,423059,1
9344,174274,3
9377,217467,6
9378,220309,4
9446,423381,2
10085,250166,3
10096,212591,2
10098,242162,5
10101,246490,4
10125,327111,3
10126,20555,8
10155,260325,2
10156,293947,2
10165,290742,1
10239,174216,3
10455,468812,13
10568,279069,1
10570,482994,4
10624,523275,3
10647,170329,2
10651,448174,4
10652,67009,1
10664,371087,3
10682,369975,1
10687,426066,3
10693,425435,2
10749,307582,2
10801,202872,6
10915,101669,3
10922,333785,2
11036,314330,5
11183,126806,4
11473,253584,3
11505,127415,6
11774,249382,2
11798,58495,6
11799,328714,9
11802,348117,2
11826,286579,1
11827,185278,1
11828,162638,1
11985,243991,4
12059,255324,3
12108,149054,4
12110,282238,4
12112,465202,2
12113,270387,2
12124,41404,8
12149,14450,1
12970,164002,4
12990,249695,2
13041,145435,2
13049,248572,3
13052,367779,2
13053,37208,3
13057,236109,2
13059,58012,2
13062,373530,4
13074,37131,2
13075,373173,8
13091,55917,4
13092,295425,3
13093,246503,6
13094,211060,2
13101,235219,3
13104,537459,5
13107,330840,2
13109,214530,6
13110,214527,5
13111,214525,3
13115,290202,1
13119,200351,5
13120,80100,2
13138,391786,4
13139,291262,1
13141,214514,3
13146,214576,6
13147,64662,4
13148,214518,5
13153,286386,3
13154,100307,8
13158,305152,3
13159,323379,4
13160,148471,1
13161,213049,2
13169,78362,3
13170,213034,6
13171,95236,2
13174,279997,2
13176,303753,3
13177,292164,3
13178,190690,2
13181,285373,3
13192,174212,3
13313,357358,4
15618,427249,5
15682,97482,7
15726,40271,6
16023,183558,3
16032,338301,9
16046,503051,2
16052,90997,2
16081,96608,2
16117,376990,3
16148,325539,1
16153,191433,1
16241,286813,3
16352,423587,5
16444,45777,1
16445,354082,9
16460,376402,2
16479,292911,1
16487,163971,3
16536,123555,2
16555,173659,3
16567,96272,4
16575,177548,3
16592,41008,9
16638,92728,6
16675,185488,2
16681,418327,5
16682,157669,1
16713,147426,3
16744,271019,4
16828,288718,2
16831,120932,2
16870,58743,3
16885,223820,2
17001,185363,3
17014,32431,2
17040,223898,2
17066,292753,3
17067,427189,2
17090,80137,4
17302,310929,2
17330,330056,1
17398,457811,2
17412,297517,1
17418,306120,10
17476,222933,7
17480,232666,1
17483,503054,8
17503,345237,2
17923,491154,1
17935,167513,5
18011,384497,3
18016,85451,7
18145,77180,4
18147,147538,2
18148,213530,2
18157,142258,3
18163,255841,4
18164,386362,2
18166,192813,2
18183,183835,18
18380,115762,5
18418,60506,7
18687,185611,5
18714,420640,3
18793,179781,3
18851,483769,3
18895,455162,3
18896,253665,3
18975,426072,2
18990,271395,5
19020,347635,3
19040,121715,4
19061,270454,3
19075,107938,2
19076,298166,5
19129,245842,13
19475,103549,10
19480,85527,8
19482,474056,4
19485,423018,4
19720,16613,2
19732,216891,1
19751,369543,4
19753,445393,8
19760,67982,3
19822,336382,1
21107,307352,5
21116,375606,7
21274,235646,4
21277,202413,5
21278,183097,3
21303,427585,4
21562,424653,3
21660,269261,2
21665,322199,2
21666,223621,5
21673,197765,7
21674,183971,5
21675,25691,5
21684,375066,2
21711,229789,4
21728,302262,1
21737,302388,1
21761,407538,3
21807,250764,3
21810,429769,2
21816,334090,2
21829,272175,3
21869,282956,4
21876,169947,7
21915,470688,2
21938,102098,14
21995,384789,3
22033,319934,7
22043,149782,8
22051,282328,5
22104,309521,2
22109,232501,6
22196,312980,9
22208,225347,5
22404,416835,6
22468,323851,3
22579,67665,4
22634,227316,8
22716,307926,1
22816,334681,6
22928,419427,10
22977,292935,3
23198,80994,8
23231,27928,3
23261,257254,2
23262,236364,2
23343,8822,4
23345,235224,4
23402,349403,2
23489,253291,4
23548,310560,3
23550,60227,1
23570,85498,5
23637,280954,2
23680,248339,4
23682,474732,7
23707,270453,5
23708,291645,2
23778,327969,2
23938,284512,2
23976,245066,3
24024,250338,8
24031,314283,6
24033,337325,3
24451,188017,2
24458,468507,5
24463,333816,1
24469,254519,3
24476,462911,3
24485,278504,1
24487,254955,1
24552,39817,4
24586,143562,2
24587,274068,4
24594,251571,2
24597,222998,1
24604,293470,3
24625,46094,1
24664,383764,7
24669,8823,1
24676,329040,11
24691,292937,1
24692,8817,1
24778,65462,4
24808,98218,4
24817,146718,2
24829,239156,5
24840,61620,2
24859,111396,5
24865,91061,5
24867,277697,4
24868,33847,3
24869,116786,14
24873,364348,6
24874,266478,6
24888,311785,8
24899,168574,5
24908,240345,5
24915,226044,5
24920,15298,6
25024,283518,4
25032,299059,1
25042,222563,3
25056,453425,5
25057,213028,8
25062,260641,1
25148,292857,2
25164,15601,3
25170,286717,1
25173,368021,2
25188,312912,2
25204,421487,3
25205,57833,2
25206,210661,6
25207,249833,7
25208,279919,5
25210,411014,5
25211,418159,5
25219,72038,2
25221,34028,2
25222,292824,4
25223,56339,6
25226,248795,2
25227,32458,2
25228,308394,4
25230,108294,7
25231,104921,3
25232,299313,5
25234,249773,4
25236,193738,1
25242,65903,4
25244,243271,7
25255,24970,3
25256,515629,5
25257,230818,2
25260,14700,4
25353,428486,3
25357,235616,3
25364,164183,1
25367,226234,14
25368,467493,4
25556,281101,3
25569,293472,4
25570,386195,3
25573,302608,3
25575,259627,3
25578,235372,2
25579,293919,5
25580,297524,1
25584,290330,7
25586,215087,2
25588,456226,4
25589,118310,3
25590,70591,4
25594,451110,2
25596,359524,1
25597,180077,1
25598,33755,4
25600,232157,3
25601,258442,1
25602,65098,4
25603,114060,2
25607,263450,8
25609,55877,2
25610,142687,5
25613,297551,2
25615,66501,3
25616,237000,3
25625,504698,2
25628,293474,1
25679,166709,3
25682,282735,4
25688,73241,5
25691,349461,4
25696,456155,2
25704,339034,2
25874,274733,1
25924,30317,7
26011,231186,2
26012,343810,3
26057,270160,5
26058,417539,4
26085,250154,2
26135,369876,5
26137,242722,6
26145,369377,4
26149,239206,9
26283,173984,3
26338,16574,4
26462,33311,2
26466,299843,2
26469,223190,4
26474,33556,4
26476,220406,2
26477,257713,4
26479,232384,3
26486,353067,4
26503,251561,3
26507,373923,4
26592,209976,2
26627,166995,2
26826,425639,3
26836,91164,5
26842,137463,4
26869,204520,8
26892,485796,3
26904,446717,8
26952,422823,2
26979,324964,1
26980,446087,3
26981,281442,4
26982,248969,5
26999,456761,2
27001,250699,4
27002,229344,3
27012,259896,7
27014,317216,1
27056,250339,3
27093,251087,3
27094,150063,1
27099,181600,3
27139,259219,1
27188,501854,11
27215,336877,3
27221,146850,5
27222,147338,3
27224,8824,1
27232,331226,4
27236,503336,4
27240,236936,3
27266,178277,1
27273,358159,4
27437,180081,3
27444,429019,5
27480,242760,4
27482,188012,4
27787,303443,2
27791,214445,1
27829,454111,3
27830,194433,5
27831,42760,2
27832,32230,4
27833,332217,4
27844,259325,3
27860,64974,3
27861,176304,4
27865,379450,3
27867,294678,1
27931,370066,2
27955,302917,7
27973,455231,3
28008,313840,4
28014,185411,2
28025,455724,4
28392,325063,3
28409,377958,2
28472,82757,2
28758,80143,3
28777,326819,3
28801,359488,2
28906,349398,1
30005,326409,3
30012,8821,1
30015,254936,2
30086,36814,3
30215,223829,3
30467,346251,3
30585,303294,11
30592,36020,2
30893,245412,4
30898,385448,1
30901,238566,2
30902,326180,26
30903,264964,4
30905,265892,3
30965,198884,7
30966,422928,4
31297,176210,3
31419,217402,2
31427,114645,3
31446,39062,3
31472,164175,4
31484,255370,2
31485,270209,5
31575,293338,3
31577,487606,8
31582,159087,2
31583,159188,2
31597,320541,7
31659,88440,6
31661,72392,1
31664,222537,6
31719,286448,2
31741,253785,2
31775,284368,4
31783,257475,3
31786,291327,1
31901,213057,2
31947,249323,1
31949,275810,8
31964,176870,3
31976,255326,4
31987,146046,4
31995,113487,5
32032,257444,4
32384,219708,1
32385,289301,1
32568,216277,3
32570,350916,3
32574,205571,2
32593,271150,3
32612,338163,3
32627,411516,1
32648,286518,3
32653,331885,17
32676,322729,3
32679,459539,2
32738,292966,2
32765,199533,4
32808,238073,1
32873,45767,1
32914,392352,1
33158,291785,11
33169,315810,3
33185,193560,3
33188,167995,1
33192,369218,4
33194,235628,4
33197,52399,4
33198,424481,5
33216,210159,12
33289,283668,3
33298,213052,2
33310,258788,5
33315,187160,10
33331,280880,2
33333,279689,3
33345,60093,2
33352,227015,4
33355,456698,3
33357,457808,2
33369,244862,4
33370,252356,3
33371,296520,3
33378,457046,2
33392,284372,2
33395,243468,6
33396,423872,4
33397,59356,6
33398,457234,4
33399,307684,5
33400,456415,6
33412,502932,5
33422,107917,9
33517,108094,6
33625,503744,10
33627,300769,7
33681,219711,2
34024,321408,2
34037,176480,3
34078,24324,3
34095,94160,3
34149,321212,2
34150,418422,4
34253,264636,4
34263,131264,6
34369,431017,3
34370,159961,3
34371,352469,3
34372,412571,4
34373,292473,4
34377,271875,4
34432,256888,3
34561,310649,2
34583,128488,1
34588,133364,4
34603,173268,4
34612,307786,7
34625,173259,3
34633,310564,2
34645,504821,2
34647,276388,3
34750,219921,2
34755,238933,5
34761,507169,1
34777,271402,1
34795,149217,3
34804,276095,6
34816,201060,8
34835,134982,2
34861,15706,4
34994,318295,5
34996,315008,4
35001,219887,14
35010,123414,12
35075,8816,1
35088,293870,2
35089,171391,3
35105,296888,3
35135,304537,2
35137,305532,9
35178,427787,2
35223,231995,3
35264,353771,5
35271,351640,3
35275,232849,2
35287,451374,7
35311,266027,2
35327,195219,3
35330,196377,6
35350,179151,2
35354,333597,3
35365,71483,4
35399,130977,5
35420,258558,3
35428,184348,1
35472,297630,1
35511,185025,5
35572,261885,4
35594,297723,3
36058,204765,2
36061,250278,4
36062,250297,3
36063,320919,4
36064,250276,4
36153,457002,2
36157,533118,2
36183,433358,10
36186,155047,2
36191,259902,3
36192,291385,1
36222,171585,6
36241,203532,1
36251,250987,3
36257,372948,2
36297,372963,2
36307,255446,4
36311,364209,3
36313,503301,3
36336,155046,6
36337,232769,2
36338,303878,2
36350,231024,2
36351,231023,5
36381,232663,4
36382,372867,3
36383,36744,3
36391,505119,5
36392,229164,3
36398,39707,2
36409,263469,2
36418,95673,3
36557,367137,1
36609,345038,2
36624,163968,3
36656,223603,4
36691,428476,4
36708,356684,2
36728,249488,3
36910,126607,4
37300,168807,2
37305,234922,3
37314,292140,5
37465,233047,3
37511,299073,1
37516,96348,5
37595,330844,2
37909,229089,3
37956,483411,2
37957,30392,2
37977,345855,4
37999,163103,2
38012,272371,7
38111,115398,4
38122,254112,3
38213,247141,7
38219,326846,4
38307,171531,4
38310,190067,2
38311,188402,2
38313,278809,5
38314,274715,7
38318,338800,3
38319,270195,3
38320,176671,3
38321,374335,1
38322,209080,2
38323,254671,3
38346,311800,2
38347,360805,30
38348,279926,6
38350,82786,10
38356,325624,2
38359,352926,6
38362,246293,4
38363,14124,9
38367,216320,3
38369,388321,11
38372,149033,6
38375,166279,3
38380,33284,5
38382,434769,3
38384,26298,5
38385,78745,3
38393,111316,2
38396,165199,3
38397,283958,3
38445,462640,3
38467,99645,2
38567,503294,3
38585,63296,3
38647,7670,4
38655,291135,5
38694,495345,11
38706,56764,6
39866,355041,3
39882,298917,3
39896,319511,4
41126,72059,1
41128,180573,3
41129,224747,4
41232,115411,4
41233,286618,4
41236,376190,5
41237,308225,5
41242,346236,2
41283,270481,3
41359,142111,6
41423,58011,1
41438,324269,7
41466,150227,3
41471,13345,19
41576,282279,2
41581,232848,3
41582,522941,6
41591,298914,2
41604,299048,2
41700,118297,4
41703,312557,4
41775,273819,2
41846,355046,4
41847,355047,5
41851,59043,2
42057,301808,1
42058,210991,4
42067,30069,2
42068,104374,2
42071,27582,2
42097,307153,9
47227,14782,1
47261,454724,2
47323,29162,5
47398,243483,4
47633,236249,12
47849,299410,2
48156,279965,3
48160,225991,4
48199,96504,2
48200,212632,2
49081,66914,1
49092,187322,2
49170,145254,9
49327,485835,5
49353,424356,2
49418,318525,2
49434,286413,4
49438,297839,1
49489,139433,2
49553,250783,3
49608,457273,6
49715,63608,5
50233,142499,1
50261,334392,2
50264,185896,3
50275,89269,4
50276,177186,6
50280,276196,5
50324,255435,4
50492,217083,4
50550,210983,7
50690,460774,5
50737,346216,4
50743,177688,2
50756,257357,2
50775,292378,17
50806,261312,2
50838,62973,4
50839,420992,6
50929,59381,4
51002,121343,3
51012,334394,3
51029,458277,7
51031,376858,2
51045,338167,2
51166,342793,6
51174,219830,2
51361,315657,3
51394,103757,3
51523,144946,5
51585,270685,2
51606,359323,5
51607,251302,2
51664,297929,2
51723,475679,1
51788,87176,8
51790,31910,4
51986,232918,13
52055,349867,2
52117,326786,3
52239,407442,1
52312,275330,3
52588,113658,4
52626,105919,3
52628,342759,5
52656,13545,3
52699,76215,5
52711,269524,6
52779,342723,22
52782,84418,7
52825,442883,6
52841,347627,1
52874,517565,12
52885,285566,2
53077,244175,3
53155,285613,4
53156,91517,2
53158,197871,3
53159,194278,3
53162,49248,5
53181,248472,4
53184,265045,2
53195,80079,8
53264,379355,5
53395,149847,4
53657,290578,9
53687,258665,1
53789,147780,4
53927,192440,7
53984,445220,3
53986,230925,3
53988,265626,8
54281,284324,4
54284,263303,3
54318,218924,5
54363,296893,6
54373,264087,5
54403,340028,7
54418,135026,3
54419,231399,4
54429,362242,4
54430,234517,11
54431,241759,4
54437,247042,1
54440,147397,3
54462,60281,9
54502,361961,5
54567,25578,3
54590,12058,4
54593,285941,3
54648,288431,2
54713,238072,2
54849,396736,2
54913,397220,2
54966,379059,3
54975,316544,2
55042,367506,5
55051,314820,6
55072,229839,5
55094,316617,4
55095,237130,2
55111,527694,2
55153,102621,2
55232,204070,2
55233,503967,4
55234,15757,4
55262,322992,3
55263,322924,3
55264,317119,4
55275,258307,3
55277,59691,4
55283,322466,2
55289,210450,5
55292,469334,2
55296,249188,2
55328,144966,2
55400,64915,6
55412,188985,4
55417,208513,3
55710,297873,1
55750,57385,3
55774,31928,5
55811,120546,5
55812,373409,7
55814,246964,2
55837,374521,5
55888,253455,1
55972,260905,6
55996,8818,2
56016,154181,6
56096,228520,1
56097,171058,3
56176,279359,2
56226,322157,3
56253,262944,1
56257,296527,1
56285,16086,2
56289,280878,3
56293,167609,3
56331,279346,1
56335,84941,8
56347,163967,5
56359,243500,4
56410,338804,4
56427,265896,4
56430,43218,9
56454,88023,4
56461,336945,4
56464,301030,4
56465,74124,5
56466,231135,3
56630,203873,2
56918,279922,5
56924,340753,4
56943,313491,2
56944,340839,4
57233,21783,2
57344,296653,1
57349,261770,3
57366,219440,5
57478,450682,3
57479,40509,3
57480,179684,6
57487,95155,2
57516,325174,3
57562,149132,4
57575,314099,2
57585,256885,3
57611,270393,1
57612,267788,1
57637,60552,3
57644,64184,2
57684,445552,1
57826,403656,23
57827,193594,3
57828,244297,9
57829,293073,6
58758,234915,2
58767,279303,2
58770,304496,2
58771,392133,6
58772,451461,4
58773,286262,10
58774,353632,2
58775,91804,5
58776,347739,3
58777,67970,3
58778,271812,7
58779,44087,2
58780,151117,3
58781,92502,3
58782,96210,3
58783,323924,5
58784,312330,4
58785,57868,2
58786,127556,3
58787,227753,5
58788,242073,4
58790,372780,2
58961,375535,4
59320,246557,4
59343,206655,2
59595,208461,3
59601,176311,4
59620,175226,9
60087,219755,5
60174,335967,1
60190,99410,7
60204,424879,6
60205,203153,5
60297,284323,3
60375,298254,2
60388,65298,4
60456,208137,6
60474,55091,3
60477,51849,6
60484,342791,10
60485,263453,5
60538,222053,2
60553,470715,3
60575,325923,2
60594,306763,1
60615,103136,12
60616,181412,12
60629,433625,4
60630,49227,6
60631,49228,6
60633,192108,3
60634,406460,8
60636,362836,7
60645,250284,4
60646,143752,5
60734,377966,2
60817,457711,5
60837,468871,5
60840,263914,5
60969,365738,3
61022,264641,3
61035,48626,2
61052,269536,3
61088,432143,3
61092,212139,9
61132,200511,12
61155,257239,5
61186,255837,4
61189,323174,3
61190,277040,5
61850,258159,4
61894,281075,5
61933,345014,3
62133,184627,2
62137,5281,1
62139,208159,4
62149,437324,5
62150,249470,7
62158,51184,1
62180,57886,5
62452,65404,4
62780,179610,4
62806,107273,16
62928,270542,2
62970,75921,14
62971,77790,6
63207,298655,1
63266,296066,12
63296,370256,2
63307,303800,4
63354,338833,7
63697,228890,8
63744,298773,3
63800,244811,3
63910,39159,1
64097,279301,2
64165,103528,3
64189,262566,6
64206,137027,8
64207,99105,7
64220,223691,1
64235,474510,3
64256,244731,6
64259,182648,3
64319,503641,3
64521,369982,2
66947,310386,2
66957,325381,3
67395,471404,9
67412,503878,3
67413,503965,3
67591,391727,3
67619,8826,5
67620,256887,3
67650,367978,3
67679,281936,3
67682,373746,5
67683,173255,3
67689,96393,4
67723,57841,3
67753,106894,3
67856,238818,6
67862,482125,8
67871,3507,1
67896,424919,4
67912,329026,9
67919,485111,14
67924,322197,5
68048,389475,7
68104,474837,4
68105,277606,2
68117,503431,5
68212,284986,1
68216,261541,2
68217,209719,3
69029,427790,3
69071,219809,3
69121,240394,3
69184,65864,6
69221,114420,4
69236,260064,2
69252,166284,3
69301,421779,4
69302,8832,2
69447,18458,4
69457,422820,3
69670,390722,2
69673,306179,3
69768,183661,2
69797,92704,6
69944,56732,3
69975,380797,4
70006,455496,3
70007,173116,6
70015,391598,5
70049,183660,3
70068,163439,3
70087,185231,2
70104,325530,2
70181,15536,2
70235,180217,7
70285,146719,7
70369,260642,1
70486,338808,5
70494,326304,2
71299,172079,5
71387,175149,3
71405,299554,2
71411,104016,5
71414,112156,8
71471,293984,4
71717,265178,7
71815,191976,5
71822,154685,3
71842,422488,2
71845,429558,4
71878,25891,2
71910,193845,3
72321,485836,5
72414,327132,2
72418,321972,4
72423,422490,3
72424,213193,3
72425,8730,2
72427,101275,3
72428,447505,2
72441,188391,2
72444,445921,5
72446,198053,10
72449,271569,3
72462,259484,4
72502,245071,3
72573,344704,5
72598,139939,5
72608,321488,4
72621,259226,2
72638,411463,4
72690,504734,1
72791,222567,1
72809,346565,3
72897,313824,3
72913,315159,8
73119,425638,2
73204,161567,2
73250,19437,9
73336,17104,4
73379,234344,6
73404,100966,2
73415,106992,3
73428,251855,3
73436,41011,5
73459,223669,2
73463,199775,3
73466,314717,3
73467,382135,5
73469,397503,5
73472,34207,2
73476,96247,3
73501,114029,1
73699,305595,3
73706,179982,10
73758,244860,12
73768,131925,10
73781,377965,2
73786,308774,3
73847,203848,6
73906,307507,2
73948,457293,4
74031,173759,2
74040,425110,2
74170,297677,2
74394,487069,13
74511,55087,4
74518,297608,3
74561,476715,4
75883,269863,4
77077,91077,9
77228,79958,5
77362,394825,3
77537,344031,3
77631,395586,6
77888,29444,4
77916,263386,5
78063,394135,16
78132,404705,5
78819,251804,3
78823,138560,1
79016,198711,3
79288,83030,5
79338,147700,4
79922,291778,2
79932,8870,2
79935,202112,13
79941,297718,3
79942,131259,4
80002,501733,9
80010,384168,6
80013,335609,4
80015,299938,5
80020,297614,3
80125,333025,2
80126,288320,1
80130,184235,2
80131,217537,1
80154,364159,2
80298,34765,2
80299,34644,2
80307,217397,3
80308,249519,2
80310,335515,1
80371,455021,11
80374,372956,3
80383,261313,3
80401,226101,12
80408,372846,3
80417,176337,4
80424,127323,8
80429,291394,10
80432,127354,3
80443,147236,9
80447,373146,7
80503,504575,3
80636,266056,2
80670,303714,2
80693,265566,10
80772,245505,20
80809,170918,4
80857,314534,5
80880,183440,1
80919,239018,10
80973,163969,2
80977,240117,3
81008,154179,3
81010,339046,3
81023,189565,4
81102,275191,4
81140,511930,8
81255,203707,5
81298,259957,2
81364,258871,2
81410,158205,7
81442,68913,3
81445,115912,4
81531,107050,3
81583,234432,4
81626,209963,3
81687,28934,6
81780,102005,9
81794,224746,2
81796,319098,5
81873,14688,4
82154,184197,6
82159,447852,3
82170,299299,4
82174,45773,1
82536,459050,2
82685,285503,1
82942,290479,3
82952,153867,4
82978,480228,3
83147,302321,4
83699,255238,3
